Fascia,Cognome e Nome,Cognome e Nome normalized,Uppercase Surname,Cognome,Nome,Genere,Ateneo,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza,Servizio prestato in altro ateneo,molteplicità,OpenAlex ID,OpenAlex Name,ORCID,H-Index,I10-Index,Works Count,Cited By Count,Institution (OpenAlex)
Ricercatore,MAGRO Diego,MAGRO Diego,MAGRO,Magro,Diego,M,TORINO,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5082432511,Diego Magro,0000-0001-9681-0080,11.0,12.0,55.0,368.0,University of Turin
Ordinario,MAINETTI Luca,MAINETTI Luca,MAINETTI,Mainetti,Luca,M,SALENTO,,01/INFO-01,INFO-01/A,INF/01,01/B1,Ingegneria dell'Innovazione,,,https://openalex.org/A5006930217,Luca Mainetti,0000-0001-9387-9277,29.0,79.0,207.0,4480.0,Innovation Engineering (Italy)
Associato,MALANDRINO Delfina,MALANDRINO Delfina,MALANDRINO,Malandrino,Delfina,F,SALERNO,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica,,,https://openalex.org/A5035407958,Delfina Malandrino,0000-0003-2693-0196,23.0,51.0,140.0,1666.0,University of Salerno
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MALAVOLTA Giulio,MALAVOLTA Giulio,MALAVOLTA,Malavolta,Giulio,M,Bocconi MILANO,Economia,01/INFO-01,INFO-01/A,INF/01,01/B1,SCIENZE DELLA COMPUTAZIONE - DEPARTMENT OF COMPUTING SCIENCES (DCS),,,https://openalex.org/A5007500399,Giulio Malavolta,0009-0009-9737-0094,21.0,46.0,161.0,2068.0,Bocconi University
Associato confermato,MALCHIODI Dario,MALCHIODI Dario,MALCHIODI,Malchiodi,Dario,M,MILANO,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',,,https://openalex.org/A5005837237,Dario Malchiodi,0000-0002-7574-697X,15.0,28.0,144.0,859.0,University of Milan
Ordinario,MALIZIA Alessio,MALIZIA Alessio,MALIZIA,Malizia,Alessio,M,PISA,,01/INFO-01,INFO-01/A,INF/01,01/B1,INFORMATICA,,,https://openalex.org/A5060199482,Alessio Malizia,0000-0002-2601-7009,22.0,48.0,184.0,2127.0,University of Pisa
Associato,MALIZIA Enrico,MALIZIA Enrico,MALIZIA,Malizia,Enrico,M,BOLOGNA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica - Scienza e Ingegneria,,,https://openalex.org/A5066443441,Enrico Malizia,0000-0002-6780-4711,12.0,17.0,44.0,396.0,University of Bologna
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MALLARDI Giulio,MALLARDI Giulio,MALLARDI,Mallardi,Giulio,M,BARI,,01/INFO-01,INFO-01/A,INF/01,01/B1,INFORMATICA,,,https://openalex.org/A5025463578,Giulio Mallardi,0000-0001-5847-117X,5.0,3.0,17.0,71.0,University of Bari Aldo Moro
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MALLOCI Francesca Maridina,MALLOCI Francesca Maridina,MALLOCI,Malloci,Francesca Maridina,F,CAGLIARI,,01/INFO-01,INFO-01/A,INF/01,01/B1,MATEMATICA E INFORMATICA,,,https://openalex.org/A5008333131,Francesca Maridina Malloci,0000-0003-3287-4450,9.0,9.0,23.0,425.0,University of Cagliari
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MANCA Marco Manolo,MANCA Marco Manolo,MANCA,Manca,Marco Manolo,M,CAGLIARI,,01/INFO-01,INFO-01/A,INF/01,01/B1,MATEMATICA E INFORMATICA,,,https://openalex.org/A5030883152,Marco Manca,0000-0003-1029-9934,15.0,24.0,67.0,883.0,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo"""
